,Address,count,Sector
49,"DLF Regency Park 2 DLF Phase 4, Gurgaon",10,Sector 27
50,"MVN Athens Sohna, Gurgaon",10,Sohna Road
51,"Bestech Park View Residency Palam Vihar, Gurgaon",10,Sector 2
52,"DLF Carlton Estate DLF Phase 5, Gurgaon",9,Sector 53
53,"DLF Oakwood Estate DLF Phase 2, Gurgaon",9,Sector 26
54,"DLF Cyber City, Gurgaon",8,DLF Cyber City
55,"Central Park Flower Valley The Room Sohna, Gurgaon",8,Sohna Road
56,"Block B Sushant Lok 3, Gurgaon",8,Sector 57
57,"Nirvana Country, Gurgaon",8,Sector 50
58,"Greenwood City, Gurgaon",8,Sector 45
59,"Unitech Singleton Floors South City 2, Gurgaon",8,Sector 49
60,"Ardee Palm Grove Heights Ardee City, Gurgaon",8,Sector 52
61,"Rosewood City, Gurgaon",8,Sector 49
62,"DLF Belvedere Towers DLF Phase 2, Gurgaon",8,Sector 26
63,"B Block, Mayfield Garden, Gurgaon",7,Sector 51
64,"Bedarwal Consortium Sixty Three Golf Drive Kadarpur, Gurgaon",7,Kadarpur
65,"DLF Phase 4 Luxury Builder Floors DLF Phase 4, Gurgaon",7,Sector 27
66,"Block C Ardee City, Gurgaon",7,Sector 52
67,"Ultra Luxurious Builder Floor DLF Phase 1, Gurgaon",7,Sector 28
68,"G block DLF City Phase 1, Gurgaon",7,Sector 28
69,"DLF Ridgewood Estate DLF Phase 4, Gurgaon",7,Sector 27
70,"DLF Regency Park 1 DLF Phase 4, Gurgaon",7,Sector 27
71,"Block C Sushant Lok Phase - 3, Gurgaon",6,Sector 57
72,"Suncity, Gurgaon",6,Sector 54
73,"Block M DLF phase 2, Gurgaon",6,Sector 26
74,"Brand new ultra luxury builder floor DLF Phase 1, Gurgaon",6,Sector 28
75,"DLF Phase 3, Gurgaon",6,Sector 24
76,"Private Builder Floor Uppals Southend, Gurgaon",5,Sector 49
77,"DLF Belvedere Park DLF Phase 2, Gurgaon",5,Sector 26
78,"Ansal Sushant Residency Sushant Lok Phase 3, Gurgaon",5,Sector 57
79,"G Block, Sushant Lok 3, Gurgaon",5,Sector 57
80,"Block M South City 1, Gurgaon",5,Sector 41
81,"Woodstock Floors Nirvana Country, Gurgaon",5,Sector 50
82,"Block J Pocket C Palam Vihar, Gurgaon",5,Sector 2
83,"Block S Uppals Southend, Gurgaon",5,Sector 49
84,"Unitech Heritage City Heritage City, Gurgaon",5,Sector 40
85,"Urban Estate, Gurgaon",5,Unknown
86,"Ultra Luxury Builder floor In Nirvana Country Nirvana Country, Gurgaon",4,Sector 50
87,"Huda, Gurgaon",4,Unknown
88,"DLF CITY, Gurgaon",4,Unknown
89,"sushant lok- 3 Sushant Lok 3 Extension, Gurgaon",4,Sector 57
90,"DLF Exclusive Floors DLF Phase 5, Gurgaon",4,Sector 53
91,"Signature Global Park 4 Sohna, Gurgaon",4,Sohna Road
92,"Ardee The Residency Ardee City, Gurgaon",4,Sector 52
93,"Nirvana Cedar Crest Nirvana Country, Gurgaon",3,Sector 50
94,"Emaar MGF The Enclave Badshahpur, Gurgaon",3,Badshahpur
95,"Block J, Mayfield Garden, Gurgaon",3,Sector 51
96,"Sushant Lok 1 Builder Floors Block C, Sushant Lok Phase 1, Gurgaon",3,Sector 43
97,"Block H, DLF City Phase 1, Gurgaon",3,Sector 28
98,"Block N South City 1, Gurgaon",3,Sector 41
99,"Garden Villas DLF Phase 4, Gurgaon",3,Sector 27
100,"Breez Global Hill View Sohna, Gurgaon",3,Sohna Road
101,"Block-A, DLF City Phase 1, Gurgaon",3,Sector 28
102,"Ansal Block C, Sushant Lok Phase 1, Gurgaon",3,Sector 43
103,"Emerald Floors Premier Phase 3 Golf Course Road, Gurgaon",3,Golf Course Road
104,"Valley View Estate Gwal Pahari, Gurgaon",3,Gwal Pahari
105,"Huda Sector, Gurgaon",2,Unknown
106,"TOP FLOOR TERRACE GARDEN BAR AND KITCHENS PANTRY DLF Phase 2, Gurgaon",2,Sector 26
107,"Block C Palam Vihar, Gurgaon",2,Sector 2
108,"Block A Greenwood City, Gurgaon",2,Sector 45
109,"S Block DLF Phase 3, Gurgaon",2,Sector 24
110,"Block P South city 1, Gurgaon",2,Sector 41
111,"Block H South city 2, Gurgaon",2,Sector 49
112,"BUILDER FLOOR DLF Phase 2, Gurgaon",2,Sector 26
113,"Sushant Lok 1 Builder Floors B Block Sushant Lok Phase 1, Gurgaon",2,Sector 43
114,"Global Foyer Palam Vihar, Gurgaon",2,Sector 2
115,"Sushant lok 3 Sushant Lok 3 Extension, Gurgaon",2,Sector 57
116,"Independent Floors at DLF City Phase 4 DLF Phase 4, Gurgaon",2,Sector 27
117,"Koyal Vihar, Gurgaon",2,Unknown
118,"Godrej Aria Naurangpur, Gurgaon",2,Naurangpur
119,"Phase 2 Sushant Lok 3, Gurgaon",2,Sector 57
120,"DLF Floors Phase 3 DLF Phase 3, Gurgaon",2,Sector 24
121,"Ambience Lagoon DLF Phase 3, Gurgaon",2,Sector 24
122,"ASF Isle De Royale Gwal Pahari, Gurgaon",2,Gwal Pahari
123,"DLF Princeton Estate DLF Phase 5, Gurgaon",2,Sector 53
124,"Dharam Colony, Gurgaon",2,Dharam Colony
125,"DLF Pink Town House DLF Phase 3, Gurgaon",2,Sector 24
126,"Smart World Orchard Ullahawas, Gurgaon",2,Ullahawas
127,"Landmark Avenue Sushant Lok Phase 1, Gurgaon",2,Sector 43
128,"Private Builder Floor Mayfield Garden, Gurgaon",2,Sector 51
129,"Kanhai, Gurgaon",2,Sector 45
130,"Block F DLF city phase 1, Gurgaon",2,Sector 28
131,"Nirvana, Gurgaon",2,Sector 50
132,"Malibu Towers Malibu Town, Gurgaon",2,Sector 47
133,"Pocket J Palam Vihar, Gurgaon",2,Sector 2
134,"Ardee City Ardee City, Gurgaon",2,Sector 52
135,"PARK FACING LUXURY BUILDER FLOOR DLF Phase 1, Gurgaon",2,Sector 28
136,"Super Luxury Mind Blowing DLF Phase 2, Gurgaon",2,Sector 26
137,"Super Luxury Mindblowing DLF Phase 2, Gurgaon",2,Sector 26
138,"DLF Phase 5, Gurgaon",2,Sector 53
139,"V Block DLF Phase 3, Gurgaon",2,Sector 24
140,"Paramount Luxury Floors 2 Malibu Town, Gurgaon",2,Sector 47
141,"Galleria Market, Gurgaon",2,Sector 28
142,"South City-1, Gurgaon",2,Sector 41
143,"Ansal Sushant Lok Phase 2, Gurgaon",2,Sector 55
144,"Independent Floor at DLF City DLF Phase 3, Gurgaon",2,Sector 24
145,"Pocket H, Palam Vihar, Gurgaon",2,Sector 2
146,"Apexhomz Palam Vihar, Gurgaon",2,Sector 2
147,"HCS The Leaf Gwal Pahari, Gurgaon",1,Gwal Pahari
148,"CGHS Satguru Apartments Wazirabad, Gurgaon",1,Wazirabad
149,"Luxury Builder floor In South City 2 DLF Phase 3, Gurgaon",1,Sector 49
150,"Builder floor Apartment Sushant Lok 3 Extension, Gurgaon",1,Sector 57
151,"Ansal Harmony Homes Sushant Lok Phase 3, Gurgaon",1,Sector 57
152,"Ansal floor Sushant Lok 3 Sushant Lok Phase 3, Gurgaon",1,Sector 57
153,"M block DLF Cyber City, Gurgaon",1,DLF Cyber City
154,"builder fl DLF Cyber City, Gurgaon",1,DLF Cyber City
155,"DLF-1 ARJUN MARG SUPER LUXURY FLOOR 300SQYD DLF Phase 1, Gurgaon",1,Sector 28
156,"Suncity Luxury Builder Floors Suncity, Gurgaon",1,Sector 54
157,"Jyoti Park, Gurgaon",1,Unknown
158,"SS Aaron Ville Uppals Southend, Gurgaon",1,Sector 49
159,"VALUE FOR MONEY DEAL 300SQYD DLF Phase 2, Gurgaon",1,Sector 26
160,"Supermart-1, Gurgaon",1,Sector 28
161,"215SQYD BEST AND CHEAPEST PRICE OPTION Sushant Lok Phase 1, Gurgaon",1,Sector 43
162,"Ansal Oriental Villas Sushant Lok Phase 3, Gurgaon",1,Sector 57
163,"Apartment. Wazirpur, Gurgaon",1,Wazirpur
164,"Builder Floor DLF Phase 1, Gurgaon",1,Sector 28
165,"Luxury Builder Floor Block C South city 1, Gurgaon",1,Sector 41
166,"ansal Palam Vihar, Gurgaon",1,Sector 2
167,"Block C 1 Palam Vihar, Gurgaon",1,Sector 2
168,"Sushant lok- 3 Sushant Lok 3 Extension, Gurgaon",1,Sector 57
169,"DLF Luxury Builder Floors Block M DLF phase 2, Gurgaon",1,Sector 26
170,"Park Facing luxury floor DLF Phase 2, Gurgaon",1,Sector 26
171,"builder floor Block C Palam Vihar, Gurgaon",1,Sector 2
172,"Best price luxury floor DLF Phase 2, Gurgaon",1,Sector 26
173,"418SQYD LOW BUDGET FLOOR Sushant Lok Phase 1, Gurgaon",1,Sector 43
174,"huda builder floor Urban Estate, Gurgaon",1,Unknown
175,"Builder Floor Top DLF Phase 2, Gurgaon",1,Sector 26
176,"Brand New Ultra Luxury Builder Floor DLF Phase 1, Gurgaon",1,Sector 28
177,"C block Block C, Sushant Lok Phase 1, Gurgaon",1,Sector 43
178,"The Retreat South City 1, Gurgaon",1,Sector 41
179,"Ansal Sushant Lok Plots Sushant Lok Phase 1, Gurgaon",1,Sector 43
180,"DLF The Grove DLF Phase 5, Gurgaon",1,Sector 53
181,"Block B, Palam Vihar, Gurgaon",1,Sector 2
182,"mayfield Garden C Block Mayfield Garden, Gurgaon",1,Sector 51
183,"mayfield garden Block K, Mayfield Garden, Gurgaon",1,Sector 51
184,"Shiv Shankar Society Samaspur, Gurgaon",1,Samaspur
185,"Greenwood City Luxurious Builder Floor Greenwood City, Gurgaon",1,Sector 45
186,"BRAND NEW SUPER LUXURY BUILDER FLOOR Sushant Lok Phase 1, Gurgaon",1,Sector 43
187,"Designer Luxurious Floor Block C, Sushant Lok Phase 1, Gurgaon",1,Sector 43
188,"ultra luxury builder floor DLF Phase 2, Gurgaon",1,Sector 26
189,"Ramgarh, Gurgaon",1,Unknown
190,"Pragati Hills Society, Gurgaon",1,Unknown
191,"DLF, Block-J DLF Phase 2, Gurgaon",1,Sector 26
192,"E-16 DLF Block E DLF City Phase 1, Gurgaon",1,Sector 28
193,"BRAND NEW CONSTRUCTION DLF Phase 2, Gurgaon",1,Sector 26
194,"Shibha Realty DLF Phase 2, Gurgaon",1,Sector 26
195,"AVENUE-49 South City 2, Gurgaon",1,Sector 49
196,"Sushant lok-1 Block A Sushant Lok Phase 1, Gurgaon",1,Sector 43
197,"Namo Homes ultra luxury independent builder floor DLF Phase 1, Gurgaon",1,Sector 28
198,"DLF The Skycourt Nawada Fatehpur, Gurgaon",1,Nawada Fatehpur
199,"Unitech Deerwood Chase Nirvana Country, Gurgaon",1,Sector 50
200,"Unitech Espace Nirvana Country, Gurgaon",1,Sector 50
201,"Belvedere Towers DLF Cyber City, Gurgaon",1,DLF Cyber City
202,"super luxury floor DLF Phase 4, Gurgaon",1,Sector 27
203,"Namo homes Ultra luxury builder floor DLF Phase 4, Gurgaon",1,Sector 27
204,"M Block Top Terrace DLF Phase 2, Gurgaon",1,Sector 26
205,"Brand New Builder Floor Block C, Sushant Lok Phase 1, Gurgaon",1,Sector 43
206,"Middle Floor Luxury DLF Phase 2, Gurgaon",1,Sector 26
207,"middle floor luxury floor DLF Phase 3, Gurgaon",1,Sector 24
208,"Top Floor Terrace DLF Phase 1, Gurgaon",1,Sector 28
209,"Super Luxury Corner Middle floor Sushant Lok Phase 1, Gurgaon",1,Sector 43
210,"Corner ultra luxury builder floor DLF Phase 1, Gurgaon",1,Sector 28
211,"Builder Floor Dlf 4 DLF Phase 4, Gurgaon",1,Sector 27
212,"CORNER GREEN BELT FLOOR DLF Phase 1, Gurgaon",1,Sector 28
213,"18MTR ROAD LUXURY BUILDER FLOOR DLF Phase 1, Gurgaon",1,Sector 28
214,"Unitech Fresco Pocket H Nirvana Country, Gurgaon",1,Sector 50
215,"Luxury Builder Floor B Block, Mayfield Garden, Gurgaon",1,Sector 51
216,"Ultra Luxury Floor DLF Phase 2, Gurgaon",1,Sector 26
217,"brand new upper ground floor DLF Phase 2, Gurgaon",1,Sector 26
218,"middle floor DLF Phase 2, Gurgaon",1,Sector 26
219,"Top terrace old floor DLF Phase 1, Gurgaon",1,Sector 28
220,"Luxury Builder Floor South City 1, Gurgaon",1,Sector 41
221,"Luxury DLF City Floors DLF Phase 1, Gurgaon",1,Sector 28
222,"Builder Floor Brand New Construction DLF Phase 2, Gurgaon",1,Sector 26
223,"Block D Greenwood City, Gurgaon",1,Sector 45
224,"Ultra Luxury Builder Floor In Mayfield Garden Mayfield Garden, Gurgaon",1,Sector 51
225,"on request Palam Vihar, Gurgaon",1,Sector 2
226,"South City, Gurgaon",1,Sector 41
227,"avenue 49 South City 2, Gurgaon",1,Sector 49
228,"Sushant lok-3 Sushant Lok Phase 3, Gurgaon",1,Sector 57
229,"Super Luxury North Facing Sushant Lok Phase 1, Gurgaon",1,Sector 43
230,"Park View City 1, Gurgaon",1,Sector 48
231,"215SQYD PARK FACING SUPER LUXURY Sushant Lok Phase 1, Gurgaon",1,Sector 43
232,"Brand New Builder Floor DLF Phase 1, Gurgaon",1,Sector 28
233,"Block F, Sushant Lok Phase III, Gurgaon",1,Sector 57
234,"U Block DLF Phase 3, Gurgaon",1,Sector 24
235,"Mianwali Colony, Gurgaon",1,Unknown
236,"B Block Pocket B Palam Vihar, Gurgaon",1,Sector 2
237,"Ultra Luxury Builder Floor Mayfield Garden Gurgaon B Block, Mayfield Garden, Gurgaon",1,Sector 51
238,"Vipul Orchid Gardens Suncity, Gurgaon",1,Sector 54
239,"Jai maa vaishno homes New Colony, Gurgaon",1,New Colony
240,"Swastik apartment Dharam Colony, Gurgaon",1,Dharam Colony
241,"Himalayan Society Manesar, Gurgaon",1,Manesar
242,"BEST PRICE DEAL LUXURY BUILDER FLOOR DLF Phase 2, Gurgaon",1,Sector 26
243,"TWO SIDE OPEN FLOOR DLF Phase 2, Gurgaon",1,Sector 26
244,"TOP FLOOR TERRACE GARDEN BAR AND KITCHENS DLF Phase 2, Gurgaon",1,Sector 26
245,"LUXURIOUS BUILDER FLOOR DLF Phase 2, Gurgaon",1,Sector 26
246,"builder floor B Block Sushant Lok Phase 1, Gurgaon",1,Sector 43
247,"Sushant lok G Block, Sushant Lok 3, Gurgaon",1,Sector 57
248,"Mayfield garden C Block Mayfield Garden, Gurgaon",1,Sector 51
249,"DLF Phase 1Brand New Ultra Luxury Builder Floors Block H, DLF City Phase 1, Gurgaon",1,Sector 28
250,"Divya Apartments Dayanand Colony, Gurgaon",1,Dayanand Colony
251,"Radhika Apartments New Palam Vihar Phase 3, Gurgaon",1,New Palam Vihar
252,"Silver Oaks Estates DLF Phase 1, Gurgaon",1,Sector 28
253,"exclusive floors owners society Golf Course Road, Gurgaon",1,Golf Course Road
254,"Vastu Apartment Sushant Lok Phase 2, Gurgaon",1,Sector 55
255,"The New Greenwood CGHS Wazirabad, Gurgaon",1,Wazirabad
256,"The Good Luck CGHS Wazirabad, Gurgaon",1,Wazirabad
257,"CGHS Aravali Homes Suncity, Gurgaon",1,Sector 54
258,"Bestech Center Point Sushant Lok Phase 1, Gurgaon",1,Sector 43
259,"Signature Global Park 5 Sohna, Gurgaon",1,Sohna Road
260,"serenas from signature global Sohna Road, Gurgaon",1,Sohna Road
261,"Ansal Royale Casa Sushant Lok Phase 2, Gurgaon",1,Sector 55
262,"Valley View estate Gwal Pahari, Gurgaon",1,Gwal Pahari
263,"The Crew Bos Chs Manesar Manesar, Gurgaon",1,Manesar
264,"Upper ground Floor Block C, Sushant Lok Phase 1, Gurgaon",1,Sector 43
265,"K BLOCK DLF Phase 2, Gurgaon",1,Sector 26
266,"Sohna, Gurgaon",1,Sohna Road
267,"Bestech Park View City Park View City 1, Gurgaon",1,Sector 48
268,"The Close North Pocket H Nirvana Country, Gurgaon",1,Sector 50
269,"DLF Regent House DLF Phase 4, Gurgaon",1,Sector 27
270,"Builder floor DLF Cyber City, Gurgaon",1,DLF Cyber City
271,"Ultra Luxury Builder Floor Block H, DLF City Phase 1, Gurgaon",1,Sector 28
272,"Tulip Garden, Gurgaon Sushant Lok Phase 2, Gurgaon",1,Sector 55
273,"Ansal Sushant Apartments Sushant Lok Phase 1, Gurgaon",1,Sector 43
274,"aarambh buildtech Dharam Colony, Gurgaon",1,Dharam Colony
275,"Signature Global Wazirpur, Gurgaon",1,Wazirpur
276,"Shri Sai Apartments Sai Kunj Block C, Gurgaon",1,Unknown
277,"Green Court New Gurgaon",1,New Gurgaon
278,"Ompee Green New Palam Vihar, Gurgaon",1,New Palam Vihar
279,"Ansals API Esencia Golf Course Ext Road, Gurgaon",1,Golf Course Ext Road
280,"Hariom Apartment Ram Vihar, Gurgaon",1,Unknown
281,"Mittals Royale Orchards Binola, Gurgaon",1,Binola
282,"Signature Global Orchard Avenue 2 Hayatpur, Gurgaon",1,Hayatpur
283,"Ansals Palam Vihar Block C 1 Palam Vihar, Gurgaon",1,Sector 2
284,"Pocket I Nirvana Country, Gurgaon",1,Sector 50
285,"Emaar MGF The Palm Drive Badshahpur, Gurgaon",1,Badshahpur
286,"Super Luxury Mind Blowing Sushant Lok Phase 1, Gurgaon",1,Sector 43
287,"Super Luxury Mind Blowing DLF Phase 4, Gurgaon",1,Sector 27
288,"Nirmal Towers N-406 Block N, New Palam Vihar Phase 1, Gurgaon",1,New Palam Vihar
289,"Tani Homes Rajendra Park, Gurgaon",1,Rajendra Park
290,"Laxman Vihar, Gurgaon",1,Laxman Vihar
291,"hno- A 34 Block A South City 2, Gurgaon",1,Sector 49
292,"Lakshman Vihar Phase 2 gali na 10 Laxman Vihar Phase 2, Gurgaon",1,Laxman Vihar
293,"Genesis Sky heights Bhiwadi, Gurgaon",1,Bhiwadi
294,"Anubhav Apartment Ashok Vihar, Gurgaon",1,Ashok Vihar
295,"Wazirabad, Gurgaon",1,Wazirabad
296,"Block K1 New Palam Vihar Phase 1, Gurgaon",1,New Palam Vihar
297,"AEZ Aloha Sushant Lok 3 Extension, Gurgaon",1,Sector 57
298,"Oriental Homes Sushant Lok Phase 3, Gurgaon",1,Sector 57
299,"Ansal Homes Sushant Lok Phase 3, Gurgaon",1,Sector 57
300,"Spaze Privy AT4 Sihi Village, Gurgaon",1,Sihi Village
301,"BEST PRICE DEAL LUXURY BUILDER FLOOR DLF Phase 1, Gurgaon",1,Sector 28
302,"LUXURY MIDDLE FLOOR DLF Phase 2, Gurgaon",1,Sector 26
303,"Sushant lok 3 Block B Sushant Lok 3, Gurgaon",1,Sector 57
304,"Sushant lok Sushant Lok Phase 3, Gurgaon",1,Sector 57
305,"Today Luxotica Mayfield Garden, Gurgaon",1,Sector 51
306,"Dwarka Expressway, Gurgaon",1,Dwarka Expressway
307,"Suncity Township Golf Course Road, Gurgaon",1,Golf Course Road
308,"Luxury Builder floor In South City 2 Block H South city 2, Gurgaon",1,Sector 49
309,"Ansal Florence Super Sushant Lok 3 Extension, Gurgaon",1,Sector 57
310,"Mohyal Colony, Gurgaon",1,Unknown
311,"Vishnu Garden, Gurgaon",1,Unknown
312,"M3M Cosmopolitan Golf Course Ext Road, Gurgaon",1,Golf Course Ext Road
313,"gdge New Colony, Gurgaon",1,New Colony
314,"Upper Ground Floor Block H, DLF City Phase 1, Gurgaon",1,Sector 28
315,"Gwal Pahari, Gurgaon",1,Gwal Pahari
316,"Riddhi Siddhi floor Mayfield Garden, Gurgaon",1,Sector 51
317,"Pocket H Nirvana Country, Gurgaon",1,Sector 50
318,"rwa j block palam vihar Gurgaon Pocket J Palam Vihar, Gurgaon",1,Sector 2
319,"F block Dlf phase 1 Golf Course Road, Gurgaon",1,Golf Course Road
320,"sushant lok 3 Sushant Lok 3 Extension, Gurgaon",1,Sector 57
321,"DLF-2 ULTRA LUXURIOUS FLOOR CHEAPEST PRICE DLF Phase 2, Gurgaon",1,Sector 26
322,"DLF-2 LUXURIOUS FLOOR CHEAPEST DEAL DLF Phase 2, Gurgaon",1,Sector 26
323,"DLF-2 215SQYD FLOOR CHEAPEST OPTION DLF Phase 2, Gurgaon",1,Sector 26
324,"300SQYD BEST AND CHEAPEST PRICE DEAL DLF Phase 2, Gurgaon",1,Sector 26
325,"DLF-2 3BHK BEST AND CHEAPEST OPTION DLF Phase 2, Gurgaon",1,Sector 26
326,"Sushant lok Sushant Lok Phase 2, Gurgaon",1,Sector 55
327,"AKASHNEEM MARG DLF Phase 2, Gurgaon",1,Sector 26
328,"PARK FACING EAST FACING DLF Phase 2, Gurgaon",1,Sector 26
329,"BEST PRICE DEAL DLF Phase 2, Gurgaon",1,Sector 26
330,"BEST LAYOUT LUXURY FLOOR DLF Phase 2, Gurgaon",1,Sector 26
331,"PARK FACING LUXURY BUILDER FLOOR DLF Phase 2, Gurgaon",1,Sector 26
332,"w block uppal southend Uppals Southend, Gurgaon",1,Sector 49
333,"Top floor Terrace DLF Phase 1, Gurgaon",1,Sector 28
334,"DLF South City 1 South City 1, Gurgaon",1,Sector 41
335,"3 side open DLF Phase 4, Gurgaon",1,Sector 27
336,"Central Park Flower Valley Clover Floors Sohna, Gurgaon",1,Sohna Road
337,"PRIVATE BUILDER FLOOR Rosewood City, Gurgaon",1,Sector 49
338,"Private Builder Floor Rosewood City, Gurgaon",1,Sector 49
339,"Paramount Super Luxury Floors 2 Nirvana Country, Gurgaon",1,Sector 50
340,"Medicity, Gurgaon",1,Sector 38
341,"Golden Floors Mayfield Garden, Gurgaon",1,Sector 51
342,"Builder Floor Block C Ardee City, Gurgaon",1,Sector 52
343,"Block E DLF City Phase 1, Gurgaon",1,Sector 28
344,"k block DLF Phase 2, Gurgaon",1,Sector 26
345,"Ansal Palam Vihar Palam Vihar, Gurgaon",1,Sector 2
346,"South City2 South City 2, Gurgaon",1,Sector 49
347,"Conscient Heritage One Heritage City, Gurgaon",1,Sector 40
348,"Patel Nagar, Gurgaon",1,Unknown
349,"C-1 Palam vihar Block C 1 Palam Vihar, Gurgaon",1,Sector 2
350,"Brand new ultra luxury builder floor DLF Phase 4, Gurgaon",1,Sector 27
351,"G block south city South City 2, Gurgaon",1,Sector 49
352,"Best price luxury floor DLF Phase 4, Gurgaon",1,Sector 27
353,"T Block, DLF Phase 3, Gurgaon",1,Sector 24
354,"Block A New Palam Vihar Phase 2, Gurgaon",1,New Palam Vihar
355,"Flora Avenue 33 Sohna, Gurgaon",1,Sohna Road
356,"TOP FLOOR HAVING TERRACE DLF Phase 2, Gurgaon",1,Sector 26
357,"DLF City Plots Phase 2 Block M DLF phase 2, Gurgaon",1,Sector 26
358,"Best price uxury floor DLF Phase 2, Gurgaon",1,Sector 26
359,"Brand New Builder Floor Sushant Lok Phase 1, Gurgaon",1,Sector 43
360,"M Block Dlf City-2 DLF Phase 2, Gurgaon",1,Sector 26
361,"U Block White Town House DLF Phase 3, Gurgaon",1,Sector 24
362,"M3M Antalya Hills Naurangpur, Gurgaon",1,Naurangpur
363,"C Block Mayfield Garden, Gurgaon",1,Sector 51
364,"ARJUN MARG DLF Phase 1, Gurgaon",1,Sector 28
